mapping_kind,format_epoch,version_scope,record_identity,cmper,element_stride,location,width_bytes,byte_order_rule,target_field,verification,confidence
insert_element,uncompressed,Finale 3.7-2000,78,65534,17 bytes,offset 10,2,little-endian struct; container word order undone,symFont font comparator,179 documents; zero in all of them,strong
insert_element,uncompressed,Finale 3.7-2000,78,65534,17 bytes,offset 12,2,little-endian struct; container word order undone,symFont size,179 documents,strong
insert_element,uncompressed,Finale 3.7-2000,78,65534,17 bytes,offset 14,2,little-endian struct; container word order undone,symFont effects,179 documents; zero in all of them,strong
insert_element,uncompressed,Finale 3.7-2000,78,65534,17 bytes,offset 16,1,byte,symChar,179 documents,strong
insert_element,dcl/zlib,Finale 2001-2010,78,65534,18 bytes,offset 0,4,high word first,trackingBefore,21030 field comparisons over 701 companion-backed documents plus a controlled 1000,confirmed
insert_element,dcl/zlib,Finale 2001-2010,78,65534,18 bytes,offset 4,4,high word first,trackingAfter,controlled 250; zero in every corpus document,confirmed
insert_element,dcl/zlib,Finale 2001-2010,78,65534,18 bytes,offset 8,2,container; signed,baselineShiftPerc,701 documents over 8 distinct values plus a controlled -25,confirmed
insert_element,dcl/zlib,Finale 2001-2010,78,65534,18 bytes,offset 10,2,container,symFont font comparator,460 elements naming a real FontDefinition; controlled Petrucci at source cmper 9,confirmed
insert_element,dcl/zlib,Finale 2001-2010,78,65534,18 bytes,offset 12,2,container,symFont size,701 documents over 6 distinct values plus a controlled 79,confirmed
insert_element,dcl/zlib,Finale 2001-2010,78,65534,18 bytes,offset 14,2,container,symFont effects,990 comparisons over 198 documents; setEnigmaStyles unchanged; controlled 0x01 and 0x06,confirmed
insert_element,dcl/zlib,Finale 2001-2010,78,65534,18 bytes,offset 16,2,container; low byte only,symChar,701 documents; four Finale 2006 fixtures store values above 127 sign-extended,confirmed
insert_element,zlib,Finale 2012,78,65534,20 bytes,offset 0,4,high word first,trackingBefore,7440 field comparisons over 248 companion-backed documents plus a controlled 1000,confirmed
insert_element,zlib,Finale 2012,78,65534,20 bytes,offset 4,4,high word first,trackingAfter,controlled 250,confirmed
insert_element,zlib,Finale 2012,78,65534,20 bytes,offset 8,2,container; signed,baselineShiftPerc,248 documents plus a controlled -25,confirmed
insert_element,zlib,Finale 2012,78,65534,20 bytes,offset 10,2,container,symFont font comparator,248 documents,confirmed
insert_element,zlib,Finale 2012,78,65534,20 bytes,offset 12,2,container,symFont size,248 documents,confirmed
insert_element,zlib,Finale 2012,78,65534,20 bytes,offset 14,2,container,symFont effects,248 documents,confirmed
insert_element,zlib,Finale 2012,78,65534,20 bytes,offset 16,4,low word first (plain little-endian),symChar,248 documents plus a controlled character above the basic multilingual plane; U+26469 stored as 69 64 02 00 rules out the high-word-first order the trackings use,confirmed
